Best Model: WeightedEnsemble_L3
Training Time: 0.033498525619506836 seconds
Validation Score: -1576767.1290875191

Model Performance:
                      model     score_val             eval_metric  pred_time_val    fit_time  pred_time_val_marginal  fit_time_marginal  stack_level  can_infer  fit_order
NeuralNetFastAI_r156_BAG_L1 -1.793379e+06 root_mean_squared_error       0.127508   19.045827                0.127508          19.045827            1       True         41
NeuralNetFastAI_r138_BAG_L1 -1.793678e+06 root_mean_squared_error       0.116079   13.108503                0.116079          13.108503            1       True         84
NeuralNetFastAI_r194_BAG_L1 -1.799652e+06 root_mean_squared_error       0.159112    8.780851                0.159112           8.780851            1       True         93
     ExtraTrees_r197_BAG_L1 -1.800450e+06 root_mean_squared_error       0.109043    1.284947                0.109043           1.284947            1       True         89
       ExtraTreesMSE_BAG_L1 -1.800450e+06 root_mean_squared_error       0.109458    0.524408                0.109458           0.524408            1       True          7
    RandomForest_r15_BAG_L1 -1.803751e+06 root_mean_squared_error       0.102999    1.222658                0.102999           1.222658            1       True         79
   RandomForest_r166_BAG_L1 -1.804471e+06 root_mean_squared_error       0.107647    1.303220                0.107647           1.303220            1       True         74
         XGBoost_r22_BAG_L1 -1.806138e+06 root_mean_squared_error       0.137293    5.650630                0.137293           5.650630            1       True         81
NeuralNetFastAI_r100_BAG_L1 -1.814012e+06 root_mean_squared_error       0.173611   23.418296                0.173611          23.418296            1       True         99
      ExtraTrees_r42_BAG_L1 -1.814272e+06 root_mean_squared_error       0.118345    0.551919                0.118345           0.551919            1       True         20
         XGBoost_r95_BAG_L1 -1.814531e+06 root_mean_squared_error       0.113759    5.904641                0.113759           5.904641            1       True        104
         XGBoost_r98_BAG_L1 -1.817394e+06 root_mean_squared_error       0.169308   10.179404                0.169308          10.179404            1       True         47
             XGBoost_BAG_L1 -1.819281e+06 root_mean_squared_error       0.132242    5.755008                0.132242           5.755008            1       True          9
    RandomForest_r39_BAG_L1 -1.821070e+06 root_mean_squared_error       0.104480    1.019158                0.104480           1.019158            1       True         43
    RandomForest_r16_BAG_L1 -1.827325e+06 root_mean_squared_error       0.108092    1.519938                0.108092           1.519938            1       True         92
     RandomForestMSE_BAG_L1 -1.827325e+06 root_mean_squared_error       0.116307    0.626185                0.116307           0.626185            1       True          5
   RandomForest_r195_BAG_L1 -1.832578e+06 root_mean_squared_error       0.107675    1.221516                0.107675           1.221516            1       True         24
         XGBoost_r49_BAG_L1 -1.832657e+06 root_mean_squared_error       0.137148    6.325117                0.137148           6.325117            1       True         68
        XGBoost_r194_BAG_L1 -1.834156e+06 root_mean_squared_error       0.144184    5.144888                0.144184           5.144888            1       True         33
 NeuralNetFastAI_r95_BAG_L1 -1.835603e+06 root_mean_squared_error       0.100276   10.467852                0.100276          10.467852            1       True         45
       LightGBMLarge_BAG_L1 -1.843537e+06 root_mean_squared_error       0.041048    5.197833                0.041048           5.197833            1       True         11
         XGBoost_r34_BAG_L1 -1.855706e+06 root_mean_squared_error       0.122220    7.344851                0.122220           7.344851            1       True        105
         XGBoost_r33_BAG_L1 -1.880717e+06 root_mean_squared_error       0.152877    9.006592                0.152877           9.006592            1       True         19
      KNeighborsUnif_BAG_L1 -2.531524e+06 root_mean_squared_error       0.013826    0.005670                0.013826           0.005670            1       True          1
      KNeighborsDist_BAG_L1 -2.686436e+06 root_mean_squared_error       0.012593    0.004243                0.012593           0.004243            1       True          2
