Best Model: WeightedEnsemble_L3
Training Time: 0.023241281509399414 seconds
Validation Score: -587282.4204193995

Model Performance:
                      model     score_val             eval_metric  pred_time_val    fit_time  pred_time_val_marginal  fit_time_marginal  stack_level  can_infer  fit_order
        LightGBM_r96_BAG_L1 -7.404900e+05 root_mean_squared_error       0.382007    5.124966                0.382007           5.124966            1       True         17
      ExtraTrees_r49_BAG_L1 -7.418743e+05 root_mean_squared_error       0.070631    0.734077                0.070631           0.734077            1       True         54
     ExtraTrees_r126_BAG_L1 -7.716949e+05 root_mean_squared_error       0.067525    0.758668                0.067525           0.758668            1       True         97
NeuralNetFastAI_r102_BAG_L1 -8.379154e+05 root_mean_squared_error       0.135069   15.623520                0.135069          15.623520            1       True         22
NeuralNetFastAI_r187_BAG_L1 -8.379891e+05 root_mean_squared_error       0.122860   19.522534                0.122860          19.522534            1       True        102
NeuralNetFastAI_r134_BAG_L1 -8.382813e+05 root_mean_squared_error       0.160503   28.743783                0.160503          28.743783            1       True         57
  NeuralNetFastAI_r4_BAG_L1 -8.421956e+05 root_mean_squared_error       0.084161    7.454264                0.084161           7.454264            1       True         96
    RandomForest_r34_BAG_L1 -8.436196e+05 root_mean_squared_error       0.059857    0.334319                0.059857           0.334319            1       True         58
 NeuralNetTorch_r158_BAG_L1 -8.437317e+05 root_mean_squared_error       0.067071   16.400898                0.067071          16.400898            1       True         49
  NeuralNetTorch_r76_BAG_L1 -8.464352e+05 root_mean_squared_error       0.059686    9.358255                0.059686           9.358255            1       True         88
NeuralNetFastAI_r127_BAG_L1 -8.468563e+05 root_mean_squared_error       0.128166   13.905212                0.128166          13.905212            1       True         91
 NeuralNetFastAI_r65_BAG_L1 -8.476936e+05 root_mean_squared_error       0.147393   16.348025                0.147393          16.348025            1       True         65
NeuralNetFastAI_r111_BAG_L1 -8.478723e+05 root_mean_squared_error       0.170490   13.709716                0.170490          13.709716            1       True         62
NeuralNetFastAI_r143_BAG_L1 -8.486510e+05 root_mean_squared_error       0.172892   18.128998                0.172892          18.128998            1       True         39
  NeuralNetTorch_r22_BAG_L1 -8.494063e+05 root_mean_squared_error       0.065596   18.761612                0.065596          18.761612            1       True         18
       ExtraTrees_r4_BAG_L1 -8.504029e+05 root_mean_squared_error       0.078083    0.345297                0.078083           0.345297            1       True         64
  NeuralNetTorch_r36_BAG_L1 -8.514075e+05 root_mean_squared_error       0.055233   10.850123                0.055233          10.850123            1       True         98
NeuralNetFastAI_r156_BAG_L1 -8.536811e+05 root_mean_squared_error       0.113712   15.648745                0.113712          15.648745            1       True         41
NeuralNetFastAI_r160_BAG_L1 -8.548467e+05 root_mean_squared_error       0.084932    8.152840                0.084932           8.152840            1       True         77
 NeuralNetFastAI_r69_BAG_L1 -8.554448e+05 root_mean_squared_error       0.106796    7.715296                0.106796           7.715296            1       True         82
  NeuralNetTorch_r41_BAG_L1 -8.571322e+05 root_mean_squared_error       0.069696   11.998662                0.069696          11.998662            1       True         46
     NeuralNetFastAI_BAG_L1 -8.578216e+05 root_mean_squared_error       0.095712    7.884622                0.095712           7.884622            1       True          8
 NeuralNetFastAI_r11_BAG_L1 -8.578656e+05 root_mean_squared_error       0.092358   10.826665                0.092358          10.826665            1       True         32
NeuralNetFastAI_r145_BAG_L1 -8.578740e+05 root_mean_squared_error       0.087835    9.338681                0.087835           9.338681            1       True         26
  NeuralNetTorch_r19_BAG_L1 -8.582330e+05 root_mean_squared_error       0.065007    8.912277                0.065007           8.912277            1       True        103
 NeuralNetFastAI_r88_BAG_L1 -8.585807e+05 root_mean_squared_error       0.131922   15.770781                0.131922          15.770781            1       True         66
 NeuralNetTorch_r121_BAG_L1 -8.589673e+05 root_mean_squared_error       0.067478   16.752770                0.067478          16.752770            1       True         90
  NeuralNetTorch_r31_BAG_L1 -8.599125e+05 root_mean_squared_error       0.063695   11.221946                0.063695          11.221946            1       True         63
NeuralNetFastAI_r138_BAG_L1 -8.609795e+05 root_mean_squared_error       0.089814   12.480652                0.089814          12.480652            1       True         84
 NeuralNetTorch_r135_BAG_L1 -8.616223e+05 root_mean_squared_error       0.113877   14.097030                0.113877          14.097030            1       True         95
NeuralNetFastAI_r103_BAG_L1 -8.633480e+05 root_mean_squared_error       0.106107    8.504640                0.106107           8.504640            1       True         36
NeuralNetFastAI_r191_BAG_L1 -8.637819e+05 root_mean_squared_error       0.107575   10.098128                0.107575          10.098128            1       True         15
  NeuralNetTorch_r86_BAG_L1 -8.651812e+05 root_mean_squared_error       0.061481   11.029731                0.061481          11.029731            1       True         30
 NeuralNetTorch_r197_BAG_L1 -8.671713e+05 root_mean_squared_error       0.085394    8.863130                0.085394           8.863130            1       True         52
  NeuralNetTorch_r79_BAG_L1 -8.674455e+05 root_mean_squared_error       0.069847   11.185537                0.069847          11.185537            1       True         13
